EducationID,AlumniID,EducationLevel,Degree,FieldofStudy,SchoolName,StartDate,EndDate,Description
65,33,Bachelors,,Business Teacher Education,Alabama State University,2007,2012,
66,34,Master of Science,MS,Information Technology,Kennesaw State University,2018,2020,
67,34,Bachelor of Science,BS,Information Technology,Georgia Southern University,2010,2014,
68,35,No Education Details,,,,,,
69,36,Master of Science,MS,Information Technology,Kennesaw State University,2018,2020,
70,36,Bachelors,,Accounting,Kennesaw State University,2014,2016,
71,36,,,,"California State University, Chico",2013,2014,
72,36,Associate of Arts,AA,Social and Behavioral Sciences,Butte College,2011,2013,
73,36,Associate of Science,AS,"Business Administration, Management and Operations",Butte College,2010,2012,
74,37,Master of Science,MS,Information Technology,Kennesaw State University,2017,2020,
75,37,Bachelor of Science,BS,Management Information Systems,Florida State University,1999,2003,
76,37,High School,,Secondary Diploma Program,Joseph Wheeler High School,1995,1999,
77,39,Master of Science,MS,Information Technology,Kennesaw State University,2018,2020,
78,40,Master of Science,MS,Information Technology,Kennesaw State University,2019,2020,
79,40,Bachelor of Science,BS,Computer Science,Kennesaw State University,1998,2000,
80,40,Bachelors,B.Com(H),Commerce,Delhi University,1993,1996,
81,42,Master of Science,MS,Information Technology,Kennesaw State University,2018,2020,
82,42,Bachelor of Engineering,BE,Information Technology,Amravati University,2012,2016,
83,42,Diploma,,Software Testing,MindScript Technologies,,,
84,43,Master of Science,MS,Information Technology,Kennesaw State University,,,
85,43,Bachelor of Science,BS,Computer Science,Kennesaw State University,2011,2015,
86,43,Coding,,Computer Science,Southern Polytechnic State University,2011,2013,
